case_number,arrest_date,charge_1_statute,charge_1_description,charge_1_type,charge_2_statute,charge_2_description,charge_2_type,charge_3_statute,charge_3_description,charge_3_type,charge_4_statute,charge_4_description,charge_4_type,person_id
JF444952,2022-10-22T22:38:00Z,720 ILCS 570.0/401-C-2,PCS - MFG/DEL1<15 GR COCAINE/ANLG,F,720 ILCS 5.0/24-1-A-9,UUW -  WEAPON - POSSESS/CARRY /CONCEAL WEAPON,F,NA,NA,NA,NA,NA,NA,89842
JA517009,2017-11-18T23:44:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,76581
JE271183,2021-06-19T03:01:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,M,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,9427
JD382269,2020-09-28T21:30:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,70553
JB553585,2018-12-15T01:25:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,88649
JA458494,2017-10-04T23:47:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,NA,NA,NA,NA,NA,NA,NA,NA,NA,19229
JB186919,2018-03-15T21:00:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,33131
JC432469,2019-09-14T03:05:00Z,720 ILCS 5.0/24-1-A-9,UUW -  WEAPON - POSSESS/CARRY /CONCEAL WEAPON,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,25328
JE304331,2021-07-17T13:55:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,97978
JA397911,2017-08-19T20:40:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,65782
JD364506,2020-09-12T09:04:00Z,625 ILCS 5.0/11-204-A,IVC - FLEE/ATTEMPT ELUDE POLICE,M,625 ILCS 5.0/6-101,DRIVING/NO LICENSE/PERMIT/AGE,M,9-24-010(B),STOP AT STOP SIGN,NA,NA,NA,NA,40833
JD384544,2020-09-30T23:21:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,10110
JB525702,2018-11-23T04:45:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,16004
JA265612,2017-05-16T12:30:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,75274
JA285138,2017-05-30T18:10:00Z,720 ILCS 5.0/19-3-A,BURGLARY - RESIDENTIAL,F,720 ILCS 5.0/19-3-A,BURGLARY - RESIDENTIAL,F,720 ILCS 5.0/19-3-A,BURGLARY - RESIDENTIAL,F,NA,NA,NA,3521
JA235374,2017-04-23T03:15:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,86847
JC415453,2019-09-01T05:56:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,27560
JA172655,2017-03-02T21:26:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,28519
JF279727,2022-06-14T23:30:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY/BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,504
JA421789,2017-09-07T15:40:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,M,NA,NA,NA,NA,NA,NA,66590
